categoria,pregunta,respuesta,tag,revisado
Desarrollo y estimulación,¿Qué hacer si el bebé quiere pararse antes de gatear?,"No forzar. Ofrecer piso, juguetes cercanos, tiempo boca abajo y espacio seguro. Algunos bebés saltan etapas, pero el gateo tiene beneficios.",gateo;pararse;desarrollo,si
Desarrollo y estimulación,¿Son necesarias las rodilleras para gatear?,No siempre. Algunas pueden hacer resbalar o interferir. Mejor superficie segura y supervisión.,gateo;rodilleras;seguridad,si
Desarrollo y estimulación,¿Qué hacer si el bebé no camina a los 10 meses?,A los 10 meses no caminar suele ser normal. Cada bebé tiene ritmo propio; consultar si hay señales de retraso o preocupación pediátrica.,caminar;hitos;desarrollo,si
Desarrollo y estimulación,¿Qué tapete conviene para bebé?,"Buscar que sea acolchado, fácil de limpiar, firme y que no se deslice. Los plegables son prácticos, pero revisar dobleces.",tapete;estimulación;gateo,si
Desarrollo y estimulación,¿Qué es estimulación temprana en casa?,"Juego en piso, tummy time, conversación, música, objetos seguros y exploración. No se trata de sobreestimular ni acelerar hitos.",estimulación;tummy time;juego,si
Maternidad y emociones,¿Es normal sentirse agotada siendo mamá primeriza?,"Sí. La maternidad es retadora física, mental y emocionalmente. Pedir ayuda y hablarlo no significa fallar.",maternidad;agotamiento;posparto,si
Maternidad y emociones,¿Cómo manejar la culpa materna?,"Reconocerla, hablar con red de apoyo, recordar que ninguna mamá es perfecta y que cuidar de sí misma también protege al bebé.",culpa materna;posparto;apoyo,si
Maternidad y emociones,¿Qué hacer si me siento sobrepasada en el posparto?,"Pedir ayuda, descansar cuando sea posible, hablar con alguien de confianza y buscar apoyo profesional si hay ansiedad, tristeza intensa o pensamientos preocupantes.",posparto;salud mental;apoyo,si
Maternidad y emociones,¿El regreso al trabajo puede dar tristeza o culpa?,"Sí. Es una transición fuerte. Ayuda planear lactancia/cuidado, hacer acuerdos y permitirse adaptarse poco a poco.",trabajo;maternidad;regreso,si
Maternidad y emociones,¿Qué hacer si no tengo red de apoyo?,"Identificar apoyos mínimos, pedir ayuda puntual, considerar servicios confiables y bajar expectativas. No tener red no invalida el cansancio.",red de apoyo;cansancio;maternidad,si
Maternidad y emociones,¿Cómo hablar de violencia o maltrato en pareja?,"Priorizar seguridad de mamá e hijos, buscar apoyo familiar/legal/psicológico, documentar hechos y no minimizar señales de riesgo.",maltrato;pareja;seguridad,si
